State,DR_2014,DR_2015,DR_2016,DR,dDR,BR_2014,BR_2015,BR_2016,BR,dBR
Andhra Pradesh,0.0073,0.0070999999999999995,0.0068,0.007495461683937939,-0.01170072138050915,0.017,0.016800000000000002,0.016399999999999998,0.018549478892514997,-0.016339108617826698
Arunachal Pradesh,0.0066,0.006,0.0062,0.005523414113506985,0.0020493639264369534,0.0192,0.0188,0.0189,0.020631814477099813,-0.010339047275029767
Assam,0.0072,0.0070999999999999995,0.0067,0.008323791442466906,-0.0224784732548044,0.0224,0.022,0.0217,0.024074267023257573,-0.013425876628836209
Bihar,0.0062,0.0062,0.006,0.007225838096189553,-0.023937015766006653,0.0259,0.0263,0.0268,0.028893682074376516,-0.01088775764212424
Chhattisgarh,0.0077,0.0075,0.0074,0.008107812530923564,-0.01626769364147912,0.023399999999999997,0.0232,0.0228,0.02535644912315278,-0.009868939340363064
Delhi,0.0038,0.0036,0.004,0.004476203033848391,-0.015184136163149287,0.016800000000000002,0.016399999999999998,0.0155,0.01774519545659956,-0.0168613038826588
Goa,0.0066,0.0064,0.0067,0.0070322133748249955,-0.006210779613325279,0.0129,0.0127,0.0129,0.013687848713821884,-0.006439514118639689
Gujarat,0.0062,0.0060999999999999995,0.0060999999999999995,0.006909487701148316,-0.012913390585187423,0.0206,0.020399999999999998,0.0201,0.02258337860515157,-0.014132761215771728
Haryana,0.0060999999999999995,0.0060999999999999995,0.005900000000000001,0.006637745462895646,-0.014996916851911901,0.0212,0.0209,0.0207,0.023364369468652186,-0.016374536646029364
Himachal Pradesh,0.0067,0.0066,0.0068,0.00694817346383677,-0.003572400864996772,0.016399999999999998,0.016300000000000002,0.016,0.01808217857568261,-0.020186805392745394
Jammu & Kashmir,0.0050999999999999995,0.004900000000000001,0.005,0.005571290176230837,-0.013444461226059079,0.016800000000000002,0.0162,0.0157,0.01820967369841954,-0.013866803367638098
Jharkhand,0.005900000000000001,0.0058,0.0055,0.007178105590379884,-0.030779780318612115,0.0238,0.0235,0.0229,0.025356479970275774,-0.009125488901998907
Karnataka,0.0068,0.0066,0.0067,0.00712353714933669,-0.009501012956164123,0.0181,0.0179,0.0176,0.019789695557047942,-0.013946471957138079
Kerala,0.0066,0.0066,0.0076,0.006679987937835911,0.010740641057916223,0.0148,0.0148,0.0143,0.01534217807104767,-0.014033823473802998
Madhya Pradesh,0.0078,0.0075,0.0070999999999999995,0.00865477569840863,-0.023253069449270025,0.0257,0.0255,0.0251,0.02810381775848742,-0.013996252923529323
Maharashtra,0.006,0.0058,0.005900000000000001,0.00656847667307272,-0.014996916851911901,0.0165,0.016300000000000002,0.0159,0.01802996985781673,-0.017387708031077337
Manipur,0.0043,0.004,0.0045,0.004467483271860782,-0.013668075060301876,0.0146,0.0144,0.0129,0.015064101092838731,-0.02185460927998434
Meghalaya,0.0075,0.0074,0.0066,0.007743134929869671,-0.020758364688913455,0.0241,0.0237,0.0237,0.024929096534176406,-0.011526814945844954
Mizoram,0.0043,0.004200000000000001,0.004200000000000001,0.004710757700990836,-0.01334838126862864,0.016399999999999998,0.0162,0.0155,0.016914600906314553,-0.001984293644661239
Nagaland,0.0031,0.003,0.0045,0.0037353325034226847,0.016312048093841236,0.015300000000000001,0.0148,0.014,0.015930217454945265,0.0005973741232176977
Odisha,0.0079,0.0076,0.0078,0.008967437530481757,-0.01857822021674571,0.019399999999999997,0.0192,0.018600000000000002,0.021236503668295756,-0.016707173101709216
Punjab,0.0064,0.0062,0.006,0.006784581418735057,-0.013107533186379361,0.0155,0.0152,0.0149,0.017564835502078942,-0.023208256358669105
Rajasthan,0.0064,0.0063,0.0060999999999999995,0.006926633373543272,-0.020736087019812832,0.025,0.0248,0.024300000000000002,0.027584326744806945,-0.016020721410481525
Sikkim,0.0050999999999999995,0.005,0.0047,0.005232552186897339,-0.01205647913278074,0.0171,0.017,0.0166,0.018783428470405678,-0.017031704652034074
Tamil Nadu,0.007,0.0067,0.0064,0.007361180458723319,-0.013160298069209375,0.0154,0.0152,0.015,0.01652509478138101,-0.01575343092553938
Telangana,0.0067,0.0065,0.0060999999999999995,0.006428445970508697,-0.046909377608827185,0.018,0.0178,0.0175,0.01776547615400572,-0.014085438483347978
Tripura,0.0047,0.0052,0.0055,0.00539472330274358,0.0011468211667622907,0.0149,0.0147,0.013699999999999999,0.015085354427168945,-0.011622784254528451
Uttar Pradesh,0.0074,0.0072,0.006900000000000001,0.008399346255657802,-0.02503890522702351,0.027,0.026699999999999998,0.026199999999999998,0.02916844223038557,-0.014041819038940445
Uttarakhand,0.006,0.0064,0.0067,0.006595379314016972,-0.0018383678253933722,0.0182,0.0178,0.0166,0.01895107143404748,-0.01226749431529131
West Bengal,0.0060999999999999995,0.005900000000000001,0.0058,0.006321141975793073,-0.011753264468933766,0.0156,0.0155,0.0154,0.017721383802847317,-0.018485386928233732
Andaman & Nicobar Islands,0.0046,0.005,0.0052,0.004723700007161461,0.001213630366068863,0.0147,0.012,0.011699999999999999,0.015530801030040635,-0.0306312183280546
Chandigarh,0.004,0.0044,0.0045,0.003943662125713129,0.008943802727542083,0.0143,0.013699999999999999,0.013900000000000001,0.015399007101772747,-0.014394502549551436
D&N Haveli,0.004200000000000001,0.0039,0.004,0.005059913427103655,-0.04173933578597844,0.0256,0.0255,0.0245,0.027693527159982783,-0.022113356978606252
Daman & Diu,0.0046,0.0047,0.0046,0.005405593156251883,-0.022563334096083132,0.0173,0.0171,0.024,0.019545910621127757,0.0007861738879287594
Lakshadweep,0.0060999999999999995,0.0062,0.006,0.006123772875025313,-0.0,0.014,0.0147,0.0189,0.017201597508567073,-0.020173337016440668
Puducherry,0.0066,0.0068,0.0072,0.00706992711542004,0.006392428070026157,0.0146,0.013800000000000002,0.013900000000000001,0.0161035731788029,-0.015456851072587097
India,0.0067,0.0065,0.0064,0.007365013890815167,-0.017735510820665323,0.021,0.0208,0.020399999999999998,0.02287725154847698,-0.01467747444233758
